States/UTs,Total (A+B),Surfaced-Total (A),Surfaced-W.B.M.,Surfaced-B.T./C.C,Unsurfaced-Total (B),Unsurfaced-Motorable,Unsurfaced-Non-Motorable
Andhra Pradesh,13811,10962,3490,7472,2849,2846,3
Arunachal Pradesh,53,53,0,53,0,0,0
Assam,6418,4458,442,4016,1960,1299,661
Bihar,9864,4506,1417,3089,5358,5345,13
Chhattisgarh,6867,5200,980,4220,1667,765,902
Goa,468,419,77,342,49,39,10
Gujarat,21231,16304,2138,14167,4927,3629,1298
Haryana,7984,5484,401,5083,2500,1524,976
Himachal Pradesh,2158,1734,97,1637,424,213,211
Jammu and Kashmir,1762,1752,2,1750,10,10,0
Jharkhand,514,472,37,435,42,29,13
Karnataka,24070,15418,4635,10783,8652,5923,2729
Kerala,13292,10870,1183,9687,2422,1606,816
Madhya Pradesh,14144,9919,3040,6879,4225,2300,1925
Maharashtra,20367,15166,6159,9007,5201,5155,46
Manipur,168,114,22,92,54,54,0
Meghalaya,110,106,0,106,4,1,3
Mizoram,311,272,3,269,39,39,0
Nagaland,98,96,1,95,2,1,1
Odisha,17841,6612,27,6585,11229,11229,0
Punjab,8085,6517,710,5807,1568,1058,510
Rajasthan,12564,10528,5316,5212,2036,871,1165
Sikkim,41,41,0,41,0,0,0
Tamil Nadu,17569,14797,985,13812,2772,2043,729
Tripura,227,186,78,107,41,28,13
Uttarakhand,4322,3084,263,2821,1237,876,362
Uttar Pradesh,49462,32511,23,32487,16952,10715,6237
West Bengal,88454,57869,3197,54672,30585,12291,18294
Andaman and Nicobar Islands,56,56,4,52,0,0,0
Chandigarh,1613,1613,1,1612,0,0,0
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA,NA
Daman and Diu,35,35,2,33,0,0,0
Delhi,29087,20401,12,20389,8686,7045,1641
Lakshadweep,1,1,0,1,0,0,0
Puducherry,754,723,105,618,31,3,28
ALL INDIA,373802,258279,34846,223433,115523,76937,38586
